time,T_end,N_per_r0,N_avg,seg,dT,alpha_seg
2026-08-06T10:36:43.142207,35,"[54.99, 48.88, 43.69]",58.51823698138893,1,5.0,24.687
2026-08-06T10:51:43.688137,40,"[52.73, 52.86, 50.96]",53.430985321493395,2,4.9,23.001
