time,T_end,N_per_r0,N_avg,seg,dT,alpha_seg
2026-08-07T14:12:34.388009,33,"[55.36, 55.4, 53.45]",56.03004377470468,1,5,23.637
2026-08-07T14:18:24.185437,38,"[50.05, 50.03, 50.05]",50.042610472702336,2,5,21.111
