time,T_end,N_per_r0,N_avg,seg,dT,alpha_seg
2026-08-06T20:43:02.558931,32,"[53.42, 53.27, 53.07]",53.539329782184815,1,5,22.586
2026-08-06T20:48:48.458374,37,"[49.15, 52.96, 55.16]",47.10819877149588,2,5,19.873
