t_epoch,t_rel,PV,MV_pct,crL
1785721211.6,2.9,27.5,100.0,2
1785721214.0,5.3,27.6,100.0,2
1785721216.3,7.6,27.6,100.0,2
1785721218.7,10.0,27.5,100.0,2
1785721221.0,12.3,27.5,100.0,2
1785721223.3,14.6,27.6,100.0,2
1785721225.6,16.9,27.6,100.0,2
1785721228.0,19.3,27.5,100.0,2
1785721230.3,21.6,27.6,100.0,2
1785721232.7,24.0,27.6,100.0,2
1785721235.0,26.3,27.6,100.0,2
1785721237.3,28.6,27.5,100.0,2
1785721239.6,30.9,27.6,100.0,2
1785721242.0,33.3,27.6,100.0,2
1785721244.3,35.6,27.6,100.0,2
1785721246.7,38.0,27.700000000000003,100.0,2
1785721249.0,40.3,27.700000000000003,100.0,2
1785721251.3,42.6,27.6,100.0,2
1785721253.7,45.0,27.6,100.0,2
1785721256.0,47.3,27.700000000000003,100.0,2
1785721258.4,49.7,27.700000000000003,100.0,2
1785721260.7,52.0,27.700000000000003,100.0,2
1785721263.1,54.4,27.8,100.0,2
1785721265.5,56.8,27.8,100.0,2
1785721267.8,59.1,27.8,100.0,2
1785721270.1,61.4,27.8,100.0,2
1785721272.4,63.7,27.8,100.0,2
1785721274.8,66.1,27.8,100.0,2
1785721277.1,68.4,27.8,100.0,2
1785721279.4,70.7,27.900000000000002,100.0,2
1785721281.7,73.1,27.900000000000002,100.0,2
1785721284.1,75.4,27.900000000000002,100.0,2
1785721286.4,77.7,28.0,100.0,2
1785721288.7,80.0,27.900000000000002,100.0,2
1785721291.0,82.4,28.1,100.0,2
1785721293.4,84.7,28.1,100.0,2
1785721295.7,87.0,28.200000000000003,100.0,2
1785721298.1,89.4,28.1,100.0,2
1785721300.4,91.7,28.1,100.0,2
1785721302.7,94.0,28.200000000000003,100.0,2
1785721305.1,96.4,28.3,100.0,2
1785721307.4,98.7,28.200000000000003,100.0,2
1785721309.7,101.0,28.3,100.0,2
1785721312.0,103.3,28.400000000000002,100.0,2
1785721314.4,105.7,28.400000000000002,100.0,2
1785721316.7,108.0,28.400000000000002,100.0,2
1785721319.0,110.3,28.5,100.0,2
1785721321.3,112.6,28.400000000000002,100.0,2
1785721323.7,115.0,28.6,100.0,2
1785721326.0,117.3,28.6,100.0,2
1785721328.3,119.6,28.6,100.0,2
1785721330.6,122.0,28.700000000000003,100.0,2
1785721333.0,124.3,28.700000000000003,100.0,2
1785721335.3,126.6,28.700000000000003,100.0,2
1785721337.6,128.9,28.8,100.0,2
1785721339.9,131.2,28.8,100.0,2
1785721342.2,133.5,28.900000000000002,100.0,2
1785721344.5,135.9,28.900000000000002,100.0,2
1785721346.9,138.2,29.0,100.0,2
1785721349.2,140.5,28.900000000000002,100.0,2
1785721351.5,142.8,29.0,100.0,2
1785721353.9,145.2,29.0,100.0,2
1785721356.3,147.6,29.1,100.0,2
1785721358.6,149.9,29.200000000000003,100.0,2
1785721361.0,152.3,29.200000000000003,100.0,2
1785721363.4,154.7,29.3,100.0,2
1785721365.7,157.0,29.400000000000002,100.0,2
1785721368.0,159.3,29.400000000000002,100.0,2
1785721370.4,161.7,29.5,100.0,2
1785721372.7,164.0,29.400000000000002,100.0,2
1785721375.1,166.4,29.5,100.0,2
1785721377.4,168.7,29.5,100.0,2
1785721379.8,171.1,29.6,100.0,2
1785721382.2,173.5,29.6,100.0,2
1785721384.5,175.9,29.8,100.0,2
1785721386.9,178.2,29.700000000000003,100.0,2
1785721389.2,180.5,29.8,100.0,2
1785721391.6,182.9,29.700000000000003,100.0,2
1785721393.9,185.2,29.8,100.0,2
1785721396.2,187.5,30.0,100.0,2
1785721398.5,189.9,29.900000000000002,100.0,2
1785721400.9,192.2,30.0,100.0,2
1785721403.2,194.5,30.0,100.0,2
1785721405.5,196.8,30.1,100.0,2
1785721407.9,199.2,30.1,100.0,2
