time,T_end,N_per_r0,N_avg,seg,dT,alpha_seg
2026-08-06T14:51:06.184977,34,"[47.01, 47.03, 47.06]",46.992809042021086,1,4,24.781
2026-08-06T14:56:27.276764,38,"[44.25, 44.04, 39.78]",45.661076603530994,2,4,24.079
